domain_id	substrates	type	source	split
looekeyolide-lklI-1(leu)	['leucine']	bacterial	['nrpstransformer_s1']	train
BGC0000411-psoC2(Val/Ile/Leu):-Xle-means-Ile/leu|ABW17377.1.A2	['leucine', 'valine', '2-amino-3-methylpentanoic acid']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
viennamycin-vieK-2(thr)	['l-threonine']	bacterial	['nrpstransformer_s1']	train
CAA84363.1.A3|P94459.2.A3	['tyrosine']	bacterial	['parasect', 'add_db']	train
BGC0000384-LtxA2(trp)|AAT12283.1.A2	['tryptophan']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0002430-gauA-3(ahpb:aminohydroxyphenylbutyric-acid)	['amino-hydroxy-phenyl-butyric acid']	bacterial	['nrpstransformer_s1']	train
BGC0000403-plpD1(24Dab):2,4-diaminobutyric-acid|AFJ14793.1.A1	['2,4-diaminobutyric acid']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0001048-tlmIII(cys)	['cysteine']	bacterial	['nrpstransformer_s1']	train
WP_015507662.1.A1|BGC0001792-surC1(beta-ala/AMPA)|AGI89789.1.A1	['2-amino-3-methylpentanoic acid', 'β-alanine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
foroxymithine-NRPS-3(hOrn)	['n5-hydroxy-l-ornithine', 'hydroxyornithine']	bacterial	['nrpstransformer_s1']	train
BGC0002117-ptcF1(asp)|NAO96320.1.A1	['aspartic acid']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
BGC0001460-H074_31677(tyr)|EME52974.1.A1	['tyrosine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
BGC0001641-koI7(val)|WP_011146892.1.A7	['valine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
BGC0000382-lstE(leu)|AIT38302.1.A1	['leucine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BAF68991.1.A1|A6P624.A1	['tyrosine']	bacterial	['parasect', 'add_db']	train
BGC0001968-cdeJ2(Asp):beta-hydroxyaspartic-acid|QBC75022.1.A2	['aspartic acid']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
BGC0002352-terE(lys)	['l-lysine']	bacterial	['nrpstransformer_s1']	train
ATY37608.1.A7|BGC0001536-BreC7(orn)	['ornithine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0002440-lon20-2(orn)	['ornithine']	bacterial	['nrpstransformer_s1']	train
ABX37383.1.A3|BGC0000984-delG3(gly)	['glycine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0001716-odl2-1(gly)|CEK23366.1.A1|WP_013184463.1.A1|SOV25620.1.A1	['glycine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
CAA67249.1.A4|O07944.A4|pristinamycin-IA-snbD-4(phg:phenylglycine)	['2-phenylglycine']	bacterial	['parasect', 'nrpstransformer_s1']	train
BGC0001093-dszC(ser)|AAY32966.1.A1|Q4U445.A1	['serine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
viennamycin-vieJ-3(phe)	['l-phenylalanine']	bacterial	['nrpstransformer_s1']	train
WP_041826607.1.A2|AGI89791.1.A2|BGC0001792-surA2(ala)	['alanine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
ABS74180.1.A3|CAE11249.1.A3|BGC0001090-bmyB3(pro)	['proline']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
mycoplanecin-mypC(gly)	['glycine']	bacterial	['nrpstransformer_s1']	train
BGC0001108-pedF(gly)|BGC0001108-pedH(gly)|AAS47564.1.A1	['glycine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
AZH23792.1.A1	['glycine']	bacterial	['parasect', 'add_db']	train
AAM80536.1.A1|Q8KLL6.A1|BGC0000290-staD-(DPG)	['3,5-dihydroxyphenylglycine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
kahalalideQ-NRPS15-8(phe)|Ga0173608_112008.A8	['l-phenylalanine']	bacterial	['parasect', 'nrpstransformer_s1']	train
BGC0000439-Tar8-3(asp)|AHH53506.1.A3	['aspartic acid']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
Ga0173608_111474.A6|kahalalideA-NRPS10-6(thr)	['l-threonine']	bacterial	['parasect', 'nrpstransformer_s1']	train
svetamycin-sveA2-4(piz)	['piperazic acid']	bacterial	['nrpstransformer_s1']	train
Q9Z4X6.A1|BGC0000315-cdaPS1-M1(ser)|CAB38518.1.A1	['serine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
ABL74936.1.A2|BGC0001048-tlmX2(his)	['l-histidine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0001952-puwA2(pro)|AXN93592.1.A2	['proline']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BAD55612.1.A1|BGC0001027-nbtE(lys)|YP_116976.1.A1	['l-lysine', 'n(6)-hydroxy-l-lysine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0000432-orf5(beta-lys)|BAL15718.1.A1	['3,6-diaminohexanoic acid']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
AHH53507.1.A2|BGC0000439-Tar9-2(asp)	['aspartic acid']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
QWM97320.1.A4	['2-amino-3-methylpentanoic acid']	bacterial	['parasect', 'add_db']	train
cyanogripeptide-cgpV4(bMeLeu)	['3-methylleucine']	bacterial	['nrpstransformer_s1']	train
WP_126900393.1.A2	['tryptophan']	bacterial	['parasect']	train
BGC0000310-bacC5(Asn)|AAC06348.1.A5|O68008.A5	['asparagine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
kitaniitetronin-kntC(pyruvate)	['pyruvic acid']	bacterial	['nrpstransformer_s1']	train
BGC0001417-mchC3(gln)|APZ78680.1.A3	['glutamine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0001009-melG(gly)|CAD89778.1.A1	['glycine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
mutanobactin-mubC-2(cys/abu)	['cysteine']	bacterial	['nrpstransformer_s1']	train
BGC0000329-crpC1(ala)	['alanine']	bacterial	['nrpstransformer_s1']	train
BAW32324.1.A2|BGC0001630-KasC2(phe//OH-phe)	['dl-phenylserine', 'l-phenylalanine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0001570-anpE(phe)|OAL11436.1.A1	['l-phenylalanine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
Q5DIP3_PSEAE(ser)	['serine']	bacterial	['nrpstransformer_s1']	train
BGC0000411-psoB3(gln)|ABW17376.1.A3	['glutamine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
CAD17792.1.A4|BGC0001754-rmyA4(ser)	['serine', 'l-homoserine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
CAJ61194.1.A1	['aspartic acid']	bacterial	['add_db']	train
BAH43766.1.A5|BGC0000452-tycC5(orn)	['tyrosine', 'ornithine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0001532-BogE1(leu)|ATY37592.1.A1	['leucine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
WP_041754829.1.A6|WP_013428774.1.A6|BGC0001844-holA6(Ile/leu)	['2-amino-3-methylpentanoic acid']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
AAZ23078.1.A1|BGC0000291-lptD1(Glu)	['3-methylglutamic acid', 'glutamic acid']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0000395-nocA3(HPG)|AAT09804.1.A3	['4-hydroxyphenylglycine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BAP05596.1.A1|BGC0000967-calH(ala)	['alanine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
O30981_BACSU2(ala/val)|O30981.A2|AAB80956.1.A2	['valine', 'alanine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
CAD17793.1.A2|BGC0001754-rmyB2(ser)	['serine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
BGC0002109-kcn23-3(val)|QDJ74275.1.A3	['valine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
BGC0000963-blmIX(ala)|Q9FB26.A1|AAG02356.1.A1	['alanine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
CEK23605.1.A1|WP_013184596.1.A1|BGC0001825-xnm1(thr)	['l-threonine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
ABB80392.1.A1|Q2XNF8_LYSLA(ala)	['alanine']	bacterial	['parasect', 'nrpstransformer_s1']	train
BGC0002351-thfB-3(ala)|QKM21620.1.A3	['alanine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
evybactin-nrpsC2(asp-gamma)	['aspartic acid']	bacterial	['nrpstransformer_s1']	train
BGC0002003-GlpD1(Lys)|WP_047195042.1.A1|AKJ29411.1.A1	['l-lysine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
momomycin-mmmB2(tyr)	['tyrosine']	bacterial	['nrpstransformer_s1']	train
BGC0000458-vioA1(Ser)|AAP92491.1.A1	['serine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
AGI89790.1.A2|WP_015507663.1.A2|BGC0001792-surB2(leu)	['leucine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0001230-sln8(val/Ile)|DAB41478.1.A1	['valine', '2-amino-3-methylpentanoic acid']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
DAC76734.1.A1|BGC0001885oxazolepoxidomycin-ozeG1(gly)	['glycine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
BGC0002050-necC(gly)|QIE07362.1.A1	['glycine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
PNO-pvfC-1(val)	['valine']	bacterial	['nrpstransformer_s1']	train
BGC0002293-ohmA-2(val/ile)|QGA70148.1.A2	['valine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
anabaenopeptilide-apdA-2(thr)|AFW94565.1.A2|Q9K5M2.A2	['l-threonine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
ATU31795.1.A2|BGC0001814-ulmB2(Asn)	['asparagine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
UEF20583.1.A1|BGC0002581-bsmF-1(tyr)|QKF54440.2.A1	['tyrosine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
atrovimycin-avm36(thr)	['l-threonine']	bacterial	['nrpstransformer_s1']	train
cochinmicin-cmnN-3(dpg)	['3,5-dihydroxyphenylglycine']	bacterial	['nrpstransformer_s1']	train
AFZ61525.1.A2|WLIP-wipB-2(val)	['valine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
AET98905.1.A1|BGC0000415-qui6-M1(cys)	['cysteine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0001629-jesC-4(thr)|QMS47800.1.A4	['l-threonine']	bacterial	['nrpstransformer_s1', 'add_db']	train
KFL51887.1.A2|BGC0001711-ocfD2(ser)	['serine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
AAC06346.1.A4|O68006.A4|BGC0000310-bacA4(glu)	['glutamic acid']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
Q9Z4X6.A2|CAB38518.1.A2|BGC0000315-cdaPS1-M2(thr)	['l-threonine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
AQM37583.1.A1|BGC0001424-mchB1(thr)	['l-threonine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
AXN93590.1.A4|BGC0001950-puwF-G4(asn)|AXN93581.1.A4	['asparagine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0002686-mad30-1(gly)	['glycine']	bacterial	['nrpstransformer_s1']	train
ctg1_orf1265.A1|WP_160330218.1.A1|BGC0001752-QchJ1(ser)	['serine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
BAH04161.1.A1|BGC0000450-trsI1(cys)	['cysteine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
AGE25479.1.A1	['l-threonine']	bacterial	['parasect']	train
WP_234859471.1.A2|aquimarin-aqmF-2(ile)	['2-amino-3-methylpentanoic acid']	bacterial	['parasect', 'nrpstransformer_s1']	train
BGC0000437/438-sypC2(ala)|AAO72425.1.A2|Q83VS0.A2	['tyrosine', 'alanine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
WP_010369428.1.A1|BGC0000299-altL1(Val)|ATD05720.1.A1|ERG36783.1.A1	['valine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
BGC0001574-SfaB(3-isocyanobutanoic-acid):SA	['3-isocyanobutyrate[unverified]']	bacterial	['nrpstransformer_s1']	train
BGC0001406-tlo21-M2(gly)|ALV86867.1.A2	['glycine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0001614-hasV2(thr)|CZT62792.1.A2	['l-threonine', 'glutamine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
AAZ03550.1.A1|BGC0000332-mcnA(gln)	['glutamine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0000367mod-lgrC4(leu)|CAD92851.1.A4	['leucine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
kahalalideY-NRPS12-2(pro)|Ga0173608_111792.A2	['proline']	bacterial	['parasect', 'nrpstransformer_s1']	train
hangtaimycin-htmA2-2(gly)	['glycine']	bacterial	['nrpstransformer_s1']	train
Ga0173608_112008.A5|kahalalideQ-NRPS15-5(pro)	['proline']	bacterial	['parasect', 'nrpstransformer_s1']	train
QYC40290.1.A1|BGC0002344-nocD(dpg)	['3,5-dihydroxyphenylglycine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
BGC0000289-dbv16-A1-(DPG)|CAD91211.1.A1|Q7WZ75.A1	['3,5-dihydroxyphenylglycine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
BGC0001760-RmoI1(ile)|WP_004571777.1.A1	['2-amino-3-methylpentanoic acid']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
AXN93581.1.A1|BGC0001950-puwF-G1(thr)	['l-threonine']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
WP_047197779.1.A5|BGC0002003-GlpE5(Val/Dhv)|AKJ29412.1.A5	['valine', 'dehydrovaline']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
BGC0002466-nrps4(hforn)	['hydroxyornithine']	bacterial	['nrpstransformer_s1']	train
Q70AZ9.A2|CAE53350.1.A2|BGC0000440/441-teiA2(tyr):doi:-10.1007/s00253-020-10436-y	['tyrosine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
gerumycin-A-29010-2(ala)	['alanine']	bacterial	['nrpstransformer_s1']	train
QEO74982.1.A3	['beta-methyl-asparagine']	bacterial	['add_db']	train
OLZ52457.1.A3|BGC0001462-BS329_14145-3(tyr)	['tyrosine', 'beta-hydroxytyrosine']	bacterial	['parasect', 'nrpstransformer_s1', 'add_db']	train
ABX60161.1.A1|BGC0000978-cyrB(Guanidinoacetate)	['guanidinoacetic acid']	bacterial	['parasect', 'add_db', 'nrpstransformer_s1']	train
